City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
432,australind,25,NA,1681010466,82,-22.9575,14.5053,58.5,13.58
433,australind,23,RU,1681010466,73,52.8678,39.8109,35.76,4.32
434,australind,11,NO,1681010466,93,64.8621,11.2373,30.31,1.14
435,australind,43,UG,1681010467,67,2.5345,34.6666,67.71,8.5
436,australind,7,JM,1681010467,83,17.8815,-76.4093,78.42,6.11
437,australind,100,NO,1681010467,86,70.9457,27.3465,33.85,6.91
438,australind,32,OM,1681010467,57,22.5667,59.5289,81.46,2.82
439,australind,0,US,1681010366,90,46.7216,-92.4594,35.35,6.91
440,australind,1,RU,1681010468,70,61.95,159.2333,23.54,8.34
441,australind,20,MY,1681010468,74,5.9749,116.0724,87.78,3.44
442,australind,100,RU,1681010468,90,67.4667,78.7,-14.12,2.82
443,australind,0,MX,1681010468,83,20.7,-105.2,72.63,3.44
444,australind,5,SO,1681010468,72,11.472,49.8728,81.68,9.04
445,australind,2,PH,1681010469,63,16.2923,119.8062,82.69,2.95
446,australind,100,ES,1681010469,70,28.6585,-17.9182,60.55,6.91
447,australind,60,RU,1681010469,93,69.4058,86.1778,-14.39,6.6
448,australind,100,RU,1681010469,86,65.5833,-171.0,1.44,6.85
449,australind,7,IR,1681010470,31,30.1165,55.1186,58.24,0.78
450,australind,0,RU,1681010470,65,68.0546,166.4372,6.4,1.52
451,australind,100,CD,1681010470,99,-0.2167,20.8667,71.49,2.75
452,australind,0,US,1681010470,45,31.4229,-103.4932,68.86,0.0
453,australind,100,TJ,1681010470,55,38.5577,68.7797,62.42,11.18
454,australind,0,IN,1681010471,53,16.7333,82.2167,87.28,0.83
455,australind,40,JP,1681010471,54,34.6667,138.95,55.76,6.71
456,australind,1,AR,1681010471,85,-31.393,-58.0209,64.78,1.99
457,australind,91,ID,1681010471,62,-8.19,114.9675,86.83,4.56
458,australind,0,EG,1681010472,21,26.557,31.6948,75.63,4.05
459,australind,99,ID,1681010472,67,5.5577,95.3222,84.85,12.93
460,australind,100,US,1681010472,93,33.194,-82.5271,44.65,15.66
461,australind,24,NE,1681010419,10,18.7369,7.3853,77.07,11.99
462,australind,62,GW,1681010291,70,12.2833,-14.2167,72.79,4.25
463,australind,55,TZ,1681010473,97,-6.7167,32.0667,62.55,3.85
464,australind,87,RU,1681010473,61,50.6803,47.4454,43.2,8.59
465,australind,100,GA,1681010473,83,-0.7193,8.7815,81.09,9.62
466,australind,17,MV,1681010473,70,2.9167,73.5667,82.74,3.87
467,australind,100,PW,1681010474,80,7.0419,134.2556,84.7,17.13
468,australind,2,NP,1681010474,17,28.5,81.1333,85.15,5.44
469,australind,99,TD,1681010474,26,9.3952,16.2989,87.33,4.52
470,australind,7,RU,1681010475,72,51.3223,42.7678,37.36,5.64
471,australind,0,MX,1681010475,76,21.2311,-86.731,78.85,10.83
472,australind,81,AR,1681010475,60,-27.7951,-64.2615,73.74,10.54
473,australind,80,ID,1681010476,77,1.05,101.2833,82.44,3.44
474,australind,97,IN,1681010476,57,18.0333,73.0167,84.47,3.76
475,australind,19,CA,1681010476,66,46.8168,-64.0654,30.11,14.83
476,australind,100,PH,1681010476,85,18.6109,121.1657,74.23,13.85
477,australind,75,FO,1681010477,93,62.1564,-7.1664,41.92,26.46
478,australind,0,US,1681010477,72,34.0979,-98.5706,61.88,6.91
479,australind,77,ID,1681010477,68,-6.7988,111.4951,83.71,6.4
480,australind,20,AW,1681010477,84,12.524,-70.027,80.55,19.57
481,australind,75,BR,1681010478,89,-29.6206,-54.1789,63.25,7.47
482,australind,0,US,1681010231,75,47.4736,-94.8803,39.9,10.36
483,australind,60,RU,1681010478,68,54.9109,71.2728,33.03,7.05
484,australind,13,MX,1681010479,59,15.7432,-96.4661,81.82,2.48
485,australind,1,IN,1681010479,14,28.3167,78.9333,83.37,6.26
486,australind,62,AR,1681010479,58,-40.8135,-62.9967,72.07,10.07
487,australind,75,ES,1681010479,68,27.9054,-15.4461,61.43,9.22
488,australind,91,TH,1681010480,55,16.0617,99.8606,87.55,7.94
489,australind,100,RU,1681010480,60,56.4915,103.96,27.55,9.22
490,australind,75,KH,1681010480,52,10.6167,104.1833,91.45,5.14
491,australind,94,ID,1681010481,58,-6.3424,106.1045,85.98,4.18
492,australind,100,GL,1681010481,89,60.1432,-45.2371,28.85,7.29
493,australind,100,RU,1681010482,96,66.8333,70.8333,3.83,18.59
494,australind,0,US,1681010482,55,39.447,-86.1758,51.64,7.2
495,australind,99,AU,1681010466,64,-36.7667,144.2833,56.64,5.01
496,australind,75,SE,1681010482,67,56.7446,15.9071,34.05,5.26
497,australind,100,US,1681010200,75,64.8378,-147.7164,17.6,11.5
498,australind,0,BW,1681010483,68,-19.9833,23.4167,66.16,3.44
499,australind,9,KE,1681010483,70,3.9366,41.867,79.88,12.15
500,australind,0,US,1681010483,66,47.1053,-104.7125,47.82,6.91
501,australind,17,CN,1681010484,58,47.8667,88.1167,30.02,1.61
502,australind,34,NA,1681010484,88,-22.116,14.2845,59.11,13.04
503,australind,95,NA,1681010484,66,-18.0607,13.84,69.01,2.68
504,australind,0,US,1681010485,67,41.1415,-73.3579,44.74,8.05
505,australind,100,AU,1681010485,63,-38.6044,145.5913,58.82,19.69
506,australind,96,NZ,1681010485,51,-44.7,169.15,62.11,4.0
507,australind,22,BR,1681010485,88,-17.7125,-39.2481,75.9,5.5
508,australind,98,IL,1681010486,31,31.61,34.7642,79.39,7.18
509,australind,100,ID,1681010486,84,-10.1667,123.5833,84.78,8.05
510,australind,3,AR,1681010486,54,-39.0333,-67.5833,65.44,4.23
511,australind,14,CA,1681010486,49,51.226,-58.6502,18.48,15.95
512,australind,20,TH,1681010486,66,9.5357,99.9357,89.51,8.05
513,australind,0,AR,1681010460,76,-26.1775,-58.1781,66.96,1.99
514,australind,100,RU,1681010487,85,44.7142,43.0008,48.02,11.72
515,australind,99,ID,1681010487,80,-0.3167,102.35,82.27,2.37
516,australind,82,CA,1681010487,52,55.0667,-117.2859,42.84,6.91
517,australind,100,PG,1681010487,94,-6.1219,141.2906,74.43,1.74
518,australind,100,KZ,1681010488,70,43.3,52.8,54.72,10.89
519,australind,98,MM,1681010488,56,14.0833,98.2,88.61,2.24
520,australind,67,IS,1681010488,87,66.0449,-17.3389,36.09,12.12
521,australind,31,PR,1681010489,90,18.0072,-65.8993,76.84,10.83
522,australind,71,RU,1681010489,50,56.9064,118.2631,10.81,2.59
523,australind,79,BR,1681010489,99,-15.4642,-39.6511,70.5,1.99
524,australind,100,NG,1681010490,68,8.8667,5.4167,80.01,3.78
525,australind,20,IN,1681010490,74,11.6667,92.75,86.04,5.75
526,australind,100,KG,1681010490,54,42.7846,75.6892,56.12,1.52
527,australind,98,GY,1681010490,84,8.2,-59.7833,74.08,4.05
528,australind,100,BO,1681010490,72,-17.7167,-66.2667,62.6,4.81
529,australind,7,AR,1681010490,58,-38.5473,-58.7368,64.54,11.72
530,australind,79,BR,1681010491,99,-8.8389,-69.2597,71.64,1.97
531,australind,18,RU,1681010491,78,57.0224,59.4412,33.3,5.73
532,australind,18,CL,1681010491,84,-25.4,-70.4833,65.8,2.84
533,australind,100,KZ,1681010492,65,45.3167,55.2,53.44,14.76
534,australind,73,TZ,1681010492,99,-10.6833,35.65,63.21,1.45
535,australind,64,US,1681010492,37,34.9803,-101.9188,63.68,14.14
536,australind,100,RU,1681010492,92,55.9333,158.7,30.9,4.92
537,australind,99,BR,1681010493,84,-7.4706,-34.8086,77.59,6.42
538,australind,100,SY,1681010493,35,35.0113,37.0532,60.89,7.87
539,australind,83,SS,1681010493,47,8.4596,25.678,75.76,4.12
540,australind,0,PK,1681010494,25,31.8241,72.7997,77.47,5.08
541,australind,78,PH,1681010494,52,13.25,120.6667,89.22,1.66
542,australind,100,CO,1681010494,71,6.189,-67.4859,80.01,3.44
543,australind,0,AR,1681010437,51,-34.6177,-68.3301,72.16,10.02
544,australind,67,BR,1681010495,99,-8.2686,-72.7439,70.29,2.46
545,australind,55,RU,1681010495,48,52.4675,96.11,23.79,9.26
546,australind,5,AU,1681010495,20,-20.7333,139.5,87.57,8.05
547,australind,100,BR,1681010496,88,-2.9248,-39.9167,76.73,4.56
548,australind,0,ES,1681010496,93,39.8885,4.2658,46.96,4.61
549,australind,32,SN,1681010497,42,16.3333,-15.0,73.04,12.84
550,australind,100,AU,1681010497,27,-20.7377,116.8463,90.21,9.51
551,australind,100,AO,1681010497,94,-12.1667,17.3333,60.06,1.12
552,australind,51,PG,1681010497,71,-3.6667,152.4333,83.73,5.93
553,australind,1,KZ,1681010498,52,51.8,68.3333,28.71,2.66
554,australind,91,TZ,1681010498,77,-6.4333,39.55,81.09,4.38
555,australind,49,RU,1681010498,97,61.5598,45.934,27.1,2.82
556,australind,40,ID,1681010215,70,1.487,124.8455,86.77,9.22
557,australind,20,SA,1681010499,46,25.0213,37.2685,79.21,4.74
558,australind,0,JP,1681010499,14,36.05,139.9,65.93,13.15
559,australind,0,JP,1681010500,17,36.3,139.8,59.59,10.94
560,australind,100,CA,1681010500,92,54.7682,-101.865,34.97,9.33
561,australind,4,AU,1681010501,51,-33.2667,115.7167,70.74,2.46
